"severity","dimension","code","name","stage","detail"
"debt","deepVerification.notApproved","1866","北野建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1867","植木組","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","186A","アストロスケールホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1870","矢作建設工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1871","ピーエス・コンストラクション","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1873","日本ハウスホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1878","大東建託","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1879","新日本建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1882","東亜道路工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1885","東亜建設工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1887","日本国土開発","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1888","若築建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1893","五洋建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1897","金下建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1898","世紀東急工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1899","福田組","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","189A","Ｄ＆Ｍカンパニー","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1904","大成温調","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1905","テノックス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1909","日本ドライケミカル","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","190A","Ｃｈｏｒｄｉａ Ｔｈｅｒａｐｅｕｔｉｃｓ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1911","住友林業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1914","日本基礎技術","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1921","巴コーポレーション","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1925","大和ハウス工業","core","status=not_started, stars=3"
