"code","name","market","industry","stage","deepVerified","provisionalCandidate","templateLike","formalPlan","financialStatementSource","administrativeDocument","pageEvidence","genericMetricFields","specificMetricFields","progressConnected","withinThreeYears","phaseScore","document","planPublishedDate","sourceUrl","templatePatternIds"
"8439","東京センチュリー","Prime","その他金融業","core","false","true","true","true","false","false","4","4","0","true","true","107","長期ビジョンおよび中期経営計画の策定に関するお知らせ","2026-05-11","https://www2.jpx.co.jp/disc/84390/140120260511522209.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8473","SBIホールディングス","Prime","証券、商品先物取引業","core","false","false","false","false","false","false","0","0","5","true","true","127","2026年3月期 有価証券報告書(中期ビジョン進捗)","2026-06-24","https://www.sbigroup.co.jp/investors/library/filings/pdf/2026.pdf",""
"8508","Jトラスト","Standard","その他金融業","core","false","false","true","false","true","false","5","3","0","true","true","31","2026年12月期 第1四半期決算短信〔IFRS〕(連結)","2026-05-14","https://www2.jpx.co.jp/disc/85080/140120260512526847.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8511","日本証券金融","Prime","その他金融業","core","false","true","true","true","false","false","3","3","0","true","true","100","中期経営計画・株主還元方針策定のお知らせ","2025-11-13","https://www2.jpx.co.jp/disc/85110/140120251113501060.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8518","日本アジア投資","Standard","証券、商品先物取引業","core","false","true","true","true","false","false","3","3","0","true","true","93","中期経営計画(2025年3月期から2027年3月期)の策定、並びに資本コストや株価を意識した経営の実現に向けた対応に関するお知らせ","2024-08-14","https://www2.jpx.co.jp/disc/85180/140120240813570848.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8522","名古屋銀行","Prime","銀行業","core","false","true","true","true","false","false","3","2","0","true","true","103","第22次経営計画「財務」中間目標および「非財務」2030年度目標の一部見直しに関するお知らせ","2026-05-12","https://www2.jpx.co.jp/disc/85220/140120260511522742.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8524","北洋銀行","Prime","銀行業","core","false","true","true","true","false","false","4","4","0","true","true","106","新中期経営計画 「Make the HOKKAIDO Way 1ststage ~今はまだ無い“Way”を私たちがつくる~」 について","2026-03-24","https://www2.jpx.co.jp/disc/85240/140120260323586923.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8537","大光銀行","Standard","銀行業","core","false","true","true","true","false","false","4","4","0","true","true","94","長期戦略方針および第13次中期経営計画の策定について","2024-04-05","https://www2.jpx.co.jp/disc/85370/140120240405566454.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8541","愛媛銀行","Prime","銀行業","core","false","true","true","true","false","false","5","5","0","true","true","98","新中期経営計画の策定について","2024-03-29","https://www2.jpx.co.jp/disc/85410/140120240329562937.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8542","トマト銀行","Standard","銀行業","core","false","true","true","true","false","false","2","0","0","true","true","87","新中期経営計画「第4次みらい創生プラン」の策定について","2024-05-10","https://www2.jpx.co.jp/disc/85420/140120240510589586.pdf","generic_period|generic_topics_statement|generic_primary_evidence_count|generic_jpx_summary"
